#SNname    zcmb    sBV    +/-   dm15   +/-   M(H)    +/-     M(J)    +/-     M(Y)    +/-     M(i)    +/-     M(V)    +/-     M(B)    +/-    
SN2007hx   0.07887  1.057 0.042  0.921 0.058  99.990  9.990  99.990  9.990 -18.742  0.089 -18.551  0.085 -19.400  0.065 -19.445  0.078
SN2007jd   0.07191  0.873 0.033  1.303 0.055 -18.116  0.329 -18.405  0.140 -18.315  0.111 -18.266  0.089 -19.004  0.066 -19.056  0.082
SN2007jg   0.03658  0.912 0.007  1.233 0.050 -18.340  0.148 -18.115  0.066 -18.194  0.064 -18.103  0.063 -18.869  0.063 -18.929  0.064
SN2007jh   0.04027  0.584 0.019  1.720 0.170  99.990  9.990  99.990  9.990 -18.366  0.245 -18.024  0.073 -18.602  0.073 -18.483  0.075
SN2007le   0.00552  1.024 0.004  0.947 0.036 -17.901  0.393 -18.162  0.393 -18.029  0.393 -18.002  0.393 -18.882  0.393 -18.934  0.393
SN2007mm   0.06887  0.500 0.020  1.800 0.093  99.990  9.990  99.990  9.990  99.990  9.990 -17.921  0.058 -18.600  0.061 -18.294  0.068
SN2007nq   0.04390  0.746 0.005  1.328 0.095 -18.726  0.113 -18.711  0.110 -18.574  0.077 -18.466  0.053 -19.102  0.055 -19.105  0.055
SN2007ol   0.05488  0.696 0.035  1.564 0.031  99.990  9.990  99.990  9.990  99.990  9.990  99.990  9.990 -18.708  0.047 -18.785  0.045
SN2007on   0.00618  0.553 0.004  1.940 0.160 -18.799  0.351 -18.860  0.351 -18.818  0.351 -18.642  0.352 -19.099  0.351 -18.994  0.351
SN2007so   0.02893  0.851 0.009  1.193 0.028 -19.111  0.109 -19.627  0.130 -19.005  0.089 -18.924  0.103 -19.526  0.109 -19.700  0.108
SN2007sr   0.00666  0.989 0.017  0.983 0.036 -18.271  0.074 -18.597  0.095 -18.371  0.086 -18.459  0.091 -19.269  0.080 -19.307  0.085
SN2007st   0.02065  0.776 0.022  1.429 0.054 -18.589  0.132 -19.099  0.166 -18.817  0.124 -18.734  0.128 -19.330  0.120 -19.362  0.126
SN2007ux   0.03200  0.600 0.006  1.631 0.010 -18.107  0.073 -18.266  0.072 -18.137  0.070 -18.054  0.071 -18.585  0.071 -18.484  0.071
SN2008C    0.01707  0.954 0.025  1.059 0.050 -18.294  0.140 -18.592  0.162 -18.486  0.137 -18.504  0.148 -19.222  0.138 -19.290  0.144
SN2008J    0.01513  1.766 0.067  0.790 0.010 -21.002  0.375 -21.379  0.172 -21.373  0.177 -21.207  0.182 -21.499  0.189 -21.257  0.186
SN2008O    0.03932  0.644 0.012  1.600 0.071 -18.160  0.092 -18.307  0.070 -18.206  0.063 -18.106  0.063 -18.631  0.062 -18.616  0.062
